symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ETHUSD,2019-02-21 00:00:00+00:00,145.967500842,150.760768105,143.2448651599,148.9015721235,1487142.9980924355,145.967500842,150.760768105,143.2448651599,148.9015721235,1487142.9980924355,0.0,1.0
ETHUSD,2019-02-22 00:00:00+00:00,148.4268452538,149.5650742946,144.3040653828,146.0568368699,1157597.0893080793,148.4268452538,149.5650742946,144.3040653828,146.0568368699,1157597.0893080793,0.0,1.0
ETHUSD,2019-02-23 00:00:00+00:00,158.4896992974,160.4879570211,146.332853498,148.1590312956,1761390.6601038347,158.4896992974,160.4879570211,146.332853498,148.1590312956,1761390.6601038347,0.0,1.0
ETHUSD,2019-02-24 00:00:00+00:00,134.1683284173,167.2319594486,133.2791004397,158.9583869513,2115340.5931783505,134.1683284173,167.2319594486,133.2791004397,158.9583869513,2115340.5931783505,0.0,1.0
ETHUSD,2019-02-25 00:00:00+00:00,138.6990357263,142.0054624349,132.7736532595,132.9858670865,1241607.5547068166,138.6990357263,142.0054624349,132.7736532595,132.9858670865,1241607.5547068166,0.0,1.0
ETHUSD,2019-02-26 00:00:00+00:00,136.7106372364,139.0236226678,134.024506533,138.3660716352,573658.2716414223,136.7106372364,139.0236226678,134.024506533,138.3660716352,573658.2716414223,0.0,1.0
ETHUSD,2019-02-27 00:00:00+00:00,134.9764838409,140.9838772627,128.8067689527,137.0018950231,1240684.2326337316,134.9764838409,140.9838772627,128.8067689527,137.0018950231,1240684.2326337316,0.0,1.0
ETHUSD,2019-02-28 00:00:00+00:00,136.0975149251,139.8254615453,133.3552022477,135.7170671486,1005833.8198830874,136.0975149251,139.8254615453,133.3552022477,135.7170671486,1005833.8198830874,0.0,1.0
ETHUSD,2019-03-01 00:00:00+00:00,135.8620655639,138.5830654948,135.2338330403,135.7518753224,543768.5905319043,135.8620655639,138.5830654948,135.2338330403,135.7518753224,543768.5905319043,0.0,1.0
ETHUSD,2019-03-02 00:00:00+00:00,133.2841472827,136.8922633787,130.6547152688,136.0732277081,674844.6425528532,133.2841472827,136.8922633787,130.6547152688,136.0732277081,674844.6425528532,0.0,1.0
ETHUSD,2019-03-03 00:00:00+00:00,131.1653966369,135.4952799634,128.561593995,133.3481025714,404665.5574059148,131.1653966369,135.4952799634,128.561593995,133.3481025714,404665.5574059148,0.0,1.0
ETHUSD,2019-03-04 00:00:00+00:00,126.3695483952,131.7382100354,123.5472321279,131.1934035953,756359.9013509058,126.3695483952,131.7382100354,123.5472321279,131.1934035953,756359.9013509058,0.0,1.0
ETHUSD,2019-03-05 00:00:00+00:00,137.7439340328,138.6765028664,125.9826164472,126.5356143542,840072.2668680669,137.7439340328,138.6765028664,125.9826164472,126.5356143542,840072.2668680669,0.0,1.0
ETHUSD,2019-03-06 00:00:00+00:00,138.179701917,140.649324474,134.4451917609,137.4562919459,911657.7710090636,138.179701917,140.649324474,134.4451917609,137.4562919459,911657.7710090636,0.0,1.0
ETHUSD,2019-03-07 00:00:00+00:00,137.6611807078,140.8236586965,135.9300536914,138.1726796894,608541.7393688689,137.6611807078,140.8236586965,135.9300536914,138.1726796894,608541.7393688689,0.0,1.0
ETHUSD,2019-03-08 00:00:00+00:00,134.4488689385,140.4726389445,130.9390388361,138.042414187,638689.8144528709,134.4488689385,140.4726389445,130.9390388361,138.042414187,638689.8144528709,0.0,1.0
ETHUSD,2019-03-09 00:00:00+00:00,137.8374052239,139.3334431701,133.5086761168,134.1334428334,673774.5270434697,137.8374052239,139.3334431701,133.5086761168,134.1334428334,673774.5270434697,0.0,1.0
ETHUSD,2019-03-10 00:00:00+00:00,136.1103071966,137.9543186419,134.4172500962,137.5722845648,599508.5930959116,136.1103071966,137.9543186419,134.4172500962,137.5722845648,599508.5930959116,0.0,1.0
ETHUSD,2019-03-11 00:00:00+00:00,133.3852577742,136.6216919616,131.6398905235,135.9528800427,765381.0502192508,133.3852577742,136.6216919616,131.6398905235,135.9528800427,765381.0502192508,0.0,1.0
ETHUSD,2019-03-12 00:00:00+00:00,134.1883888956,136.0726141224,129.4188059479,133.1649963777,699246.1836496779,134.1883888956,136.0726141224,129.4188059479,133.1649963777,699246.1836496779,0.0,1.0
ETHUSD,2019-03-13 00:00:00+00:00,132.2890308149,134.2064692847,131.323289627,134.1481234626,391481.5021484055,132.2890308149,134.2064692847,131.323289627,134.1481234626,391481.5021484055,0.0,1.0
ETHUSD,2019-03-14 00:00:00+00:00,132.8872225127,135.6195365624,131.0046298255,132.5057130034,329044.52793778,132.8872225127,135.6195365624,131.0046298255,132.5057130034,329044.52793778,0.0,1.0
ETHUSD,2019-03-15 00:00:00+00:00,137.5475053354,139.0000447306,133.111308317,133.1585971313,636814.2244191931,137.5475053354,139.0000447306,133.111308317,133.1585971313,636814.2244191931,0.0,1.0
ETHUSD,2019-03-16 00:00:00+00:00,141.5874641959,145.2418454704,137.1160031717,137.1724845774,748912.458158413,141.5874641959,145.2418454704,137.1160031717,137.1724845774,748912.458158413,0.0,1.0
ETHUSD,2019-03-17 00:00:00+00:00,139.044647479,140.8133682461,137.5027614052,139.252540572,986764.2693289097,139.044647479,140.8133682461,137.5027614052,139.252540572,986764.2693289097,0.0,1.0
ETHUSD,2019-03-18 00:00:00+00:00,137.9773648552,142.2197979677,136.553704138,139.0705522724,926945.6252934635,137.9773648552,142.2197979677,136.553704138,139.0705522724,926945.6252934635,0.0,1.0
ETHUSD,2019-03-19 00:00:00+00:00,138.8600186931,139.5090795919,137.2090103863,137.8354142888,854825.4852473487,138.8600186931,139.5090795919,137.2090103863,137.8354142888,854825.4852473487,0.0,1.0
ETHUSD,2019-03-20 00:00:00+00:00,139.4618755097,140.1463545235,136.9658320788,138.8885276884,691559.7013964292,139.4618755097,140.1463545235,136.9658320788,138.8885276884,691559.7013964292,0.0,1.0
